Name,LinkedInURL,ProfilePictureURL
Bill Gates,https://www.linkedin.com/in/williamhgates/,https://media.licdn.com/dms/image/v2/D5603AQF-RYZP55jmXA/profile-displayphoto-shrink_800_800/B56ZRi8g.aGsAc-/0/1736826818808?e=1779926400&v=beta&t=ryVoDMx2OWOX6gVncwVYiIpZrDVbUBL1dEik4yWV9-U
Satya Nadella,https://www.linkedin.com/in/satyanadella/,https://media.licdn.com/dms/image/v2/C5603AQHHUuOSlRVA1w/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1579726625483?e=1779926400&v=beta&t=eb1wBGMUA0WlRCeRCoAV_K4dCbm8mYboaciOkTGFGOk
